left,mids,counts,density
0.0,0.1,319778867,2.878411546353618
0.2,0.30000000000000004,0,0.0
0.4,0.5,0,0.0
0.6000000000000001,0.7000000000000001,89104319,0.8020508141945983
0.8,0.9,0,0.0
1.0,1.1,39082844,0.351794696407931
1.2000000000000002,1.3000000000000003,23148453,0.2083651587752485
1.4000000000000001,1.5,0,0.0
1.6,1.7000000000000002,25343810,0.22812612983769287
1.8,1.9,7724642,0.06953148259246322
2.0,2.1,10680057,0.09613393052804443
2.2,2.3000000000000003,7013336,0.06312883496725093
2.4000000000000004,2.5,4951452,0.04456928858909159
2.6,2.7,5199816,0.04680487661279466
2.8000000000000003,2.9000000000000004,4575979,0.041189559876299464
3.0,3.1,3090265,0.02781626734981351
3.2,3.3000000000000003,2689526,0.02420911289493766
3.4000000000000004,3.5,2526321,0.022740062857861176
3.6,3.7,1913585,0.01722466906773137
3.8000000000000003,3.9000000000000004,1597467,0.014379209923584105
4.0,4.1,1284400,0.011561213612457337
4.2,4.300000000000001,1074540,0.009672209961951034
4.4,4.5,860325,0.007744005840187916
4.6000000000000005,4.700000000000001,703586,0.006333157926451579
4.800000000000001,4.9,577979,0.005202537124349509
5.0,5.1,470626,0.004236225255042313
5.2,5.300000000000001,381930,0.0034378498248254677
5.4,5.5,313303,0.0028201206076173477
5.6000000000000005,5.700000000000001,256432,0.0023082101596618343
5.800000000000001,5.9,208648,0.0018780941278511438
6.0,6.1,169817,0.001528566343838888
6.2,6.300000000000001,139067,0.0012517777121174125
6.4,6.5,114310,0.001028933609498597
6.6000000000000005,6.700000000000001,92472,8.323641740666108e-4
6.800000000000001,6.9,75759,6.819261772548733e-4
7.0,7.1,61841,5.566466918467566e-4
7.2,7.300000000000001,50561,4.551125206006349e-4
7.4,7.5,40775,3.670262262908346e-4
7.6000000000000005,7.700000000000001,33285,2.9960681648290446e-4
7.800000000000001,7.9,27467,2.4723750723557074e-4
8.0,8.100000000000001,22343,2.01115069871639e-4
8.200000000000001,8.3,18298,1.6470498807283191e-4
8.4,8.5,14686,1.3219245025891405e-4
8.6,8.7,11824,1.0643085468210444e-4
8.8,8.9,9861,8.876138853351161e-5
9.0,9.100000000000001,8060,7.255012590813276e-5
9.200000000000001,9.3,6560,5.904824143391504e-5
9.4,9.5,5293,4.764364968135815e-5
9.600000000000001,9.700000000000001,4235,3.812032049887655e-5
9.8,9.9,3515,3.163941595125173e-5
10.0,10.100000000000001,2924,2.631967346840945e-5
10.200000000000001,10.3,2313,2.0819905859244737e-5
10.4,10.5,1905,1.7147393282257184e-5
10.600000000000001,10.700000000000001,1560,1.404195985318711e-5
10.8,10.9,1276,1.1485603059401765e-5
11.0,11.100000000000001,1019,9.172280186152269e-6
11.200000000000001,11.3,800,7.201005052916468e-6
11.4,11.5,651,5.859817861810723e-6
11.600000000000001,11.700000000000001,558,5.022701024409236e-6
11.8,11.9,472,4.248592981220716e-6
12.0,12.100000000000001,373,3.3574686059222727e-6
12.200000000000001,12.3,337,3.033423378541062e-6
12.4,12.5,246,2.214309053771794e-6
12.600000000000001,12.700000000000001,192,1.7282412126999523e-6
12.8,12.9,170,1.5302135737447493e-6
13.0,13.100000000000001,150,1.3501884474218255e-6
13.200000000000001,13.3,98,8.821231189822673e-7
13.4,13.5,93,8.371168374015318e-7
13.600000000000001,13.700000000000001,67,6.030841731817542e-7
13.8,13.9,50,4.5006281580727924e-7
14.0,14.100000000000001,43,3.8705402159425665e-7
14.200000000000001,14.3,32,2.880402021166587e-7
14.4,14.5,28,2.520351768520741e-7
14.600000000000001,14.700000000000001,17,1.5302135737447494e-7
14.8,14.9,18,1.6202261369062052e-7
15.0,15.100000000000001,18,1.6202261369061907e-7
15.200000000000001,15.3,13,1.1701633210989259e-7
15.4,15.5,9,8.101130684530953e-8
15.600000000000001,15.700000000000001,11,9.901381947760143e-8
15.8,15.9,4,3.6005025264582337e-8
16.0,16.1,6,5.400753789687351e-8
16.2,16.3,5,4.500628158072712e-8
16.400000000000002,16.5,2,1.8002512632291168e-8
16.6,16.700000000000003,1,9.001256316145584e-9
16.8,16.9,4,3.6005025264582337e-8
17.0,17.1,3,2.7003768948436754e-8
17.2,17.3,3,2.700376894843627e-8
17.400000000000002,17.5,0,0.0
17.6,17.700000000000003,2,1.8002512632291168e-8
17.8,17.9,1,9.001256316145584e-9
18.0,18.1,0,0.0
18.2,18.3,2,1.8002512632290847e-8
18.400000000000002,18.5,0,0.0
18.6,18.700000000000003,0,0.0
18.8,18.9,0,0.0
19.0,19.1,0,0.0
19.200000000000003,19.300000000000004,0,0.0
19.400000000000002,19.5,0,0.0
19.6,19.700000000000003,1,9.001256316145584e-9
19.8,19.9,0,0.0
20.0,20.1,0,0.0
20.200000000000003,20.300000000000004,0,0.0
20.400000000000002,20.5,0,0.0
20.6,20.700000000000003,0,0.0
20.8,20.9,0,0.0
21.0,21.1,0,0.0
21.200000000000003,21.300000000000004,0,0.0
21.400000000000002,21.5,0,0.0
21.6,21.700000000000003,1,9.001256316145584e-9
21.8,21.9,0,0.0
22.0,22.1,0,0.0
22.200000000000003,22.300000000000004,0,0.0
22.400000000000002,22.5,0,0.0
22.6,22.700000000000003,1,9.001256316145584e-9
